MeterKey,DateKey,TimeKey,MeterReading,Source,ApparentTemperature,IsSuspicious,AirTemperature,DewPointTemperature,RelativeHumidity
123,20200103,164500,67.25000,LaTrobe_CSV-orig_20200103164906.csv,NULL,NULL,NULL,NULL,NULL
123,20200102,81500,21.50000,LaTrobe_CSV-orig_20200102083457.csv,NULL,NULL,NULL,NULL,NULL
123,20200113,203000,12.50000,LaTrobe_CSV-orig_20200113204657.csv,28.00000,NULL,28.9,9.1,29
123,20200118,213000,10.25000,LaTrobe_CSV-orig_20200118213259.csv,23.10000,NULL,21.9,16,69
123,20200312,150000,50.75000,LaTrobe_CSV-orig_20200312170258.csv,24.90000,NULL,27.2,11.7,38
123,20200106,171500,NULL,LaTrobe_CSV-orig_20200107092047.csv,NULL,NULL,NULL,NULL,NULL
123,20200107,130000,NULL,LaTrobe_CSV-orig_20200107174415.csv,19.70000,NULL,19.6,16.6,83
123,20200110,83000,39.50000,LaTrobe_CSV-orig_20200110084954.csv,28.00000,NULL,28,15.3,46
123,20200108,100000,33.75000,LaTrobe_CSV-orig_20200109090333.csv,19.10000,NULL,19.6,14.8,74
123,20200106,154500,NULL,LaTrobe_CSV-orig_20200107092047.csv,NULL,NULL,NULL,NULL,NULL
123,20200118,104500,10.25000,LaTrobe_CSV-orig_20200118104656.csv,NULL,NULL,NULL,NULL,NULL
123,20200118,201500,9.75000,LaTrobe_CSV-orig_20200118201759.csv,NULL,NULL,NULL,NULL,NULL
123,20200106,160000,NULL,LaTrobe_CSV-orig_20200107092047.csv,15.00000,NULL,15.4,14.1,92
123,20200118,21500,10.50000,LaTrobe_CSV-orig_20200118022850.csv,NULL,NULL,NULL,NULL,NULL
123,20200112,213000,9.75000,LaTrobe_CSV-orig_20200112213300.csv,14.40000,NULL,16.2,10.9,71
123,20200113,101500,26.50000,LaTrobe_CSV-orig_20200113103155.csv,NULL,NULL,NULL,NULL,NULL
123,20200118,11500,9.00000,LaTrobe_CSV-orig_20200118011751.csv,NULL,NULL,NULL,NULL,NULL
123,20200314,130000,9.00000,LaTrobe_CSV-orig_20200315074655.csv,11.40000,NULL,15.5,6,53
123,20200112,53000,9.50000,LaTrobe_CSV-orig_20200112053456.csv,12.80000,NULL,14.3,9.3,72
123,20200108,14500,12.00000,LaTrobe_CSV-orig_20200109090333.csv,NULL,NULL,NULL,NULL,NULL
